,geo,Tweets,User,Location,entities,sentiment,Country
265,, What might be the learnings of #coronavirus ?Death of capitalism as we know it Populist leaders are dangerousGreen economy…,Keven85972982,Hong Kong,"[('coronavirus', 'PERSON')]","{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.5994}",Hong Kong
266,,Hollywood star  donated a second batch of plasma to help fight the #coronavirus. The actor shared a phot… ,SamaaEnglish,"Formerly FATA, Balochistan via Karachi, and definitely Pakistan","[('Hollywood', 'GPE'), ('second', 'ORDINAL')]","{'neg': 0.126, 'neu': 0.628, 'pos': 0.246, 'compound': 0.3612}",Pakistan
267,, #Turkey recorded the lowest daily #coronavirus infections since 25 March 2020 and the lowest number of deaths since 29 March…,annisahh21,,"[('Turkey', 'GPE'), ('25 March 2020', 'DATE'), ('29', 'CARDINAL')]","{'neg': 0.221, 'neu': 0.723, 'pos': 0.055, 'compound': -0.5994}",
268,, I have written a letter to Hon. Prime Minister Shri. Narendra Modi to express my deep concern over the current scenario of…,TanveerNadaf02,,"[('Hon', 'ORG'), ('Shri', 'PERSON'), ('Narendra Modi', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
269,," Everything Trump does is a distraction. He wants you to focus on anything other than the pain of 100,000 U.S. deaths and…",bunigephoto,"Centerville, GA","[('Trump', 'PERSON'), ('100,000', 'CARDINAL'), ('U.S.', 'GPE')]","{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.7096}",USA
270,, COACHING Student Sudalai.. #coronaVirus #DMKFails ,VSivasithan,,[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
271,, What Do Countries With The Best #Coronavirus Responses Have In Common? Women Leaders. What do countries with the worst #Coro…,PixSantos,"London, England","[('Coro', 'PERSON')]","{'neg': 0.156, 'neu': 0.684, 'pos': 0.16, 'compound': 0.0258}",UK
272,," 7,466 #coronavirus cases in India in 24 hours, biggest jump so far  ",TilsonFrancis,"Indi, India","[('7,466 #coronavirus', 'MONEY'), ('India', 'GPE'), ('24 hours', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
273,," As we are grieving the loss of 100,000 souls in America to the #coronavirus that has disproportionately impacted communitie…",wwredpepper,,"[('100,000', 'CARDINAL'), ('America', 'GPE')]","{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.6808}",
274,,This is the #shithole that #orangefuckface   and the #shitforbrains in the  … ,IronMonkeee,City of Warriors,"['', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
275,,"Akira Yoshino, who won a  in Chemistry, posted a video online to help lift the spirits of students negat… ",The_Japan_News,"Tokyo, Japan","[('Akira Yoshino', 'PERSON'), ('Chemistry', 'ORG')]","{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.7506}",Japan
276,,We need more ppl like ! ❤️ He is actually the one who is majorly contributing fr a win against… ,xNooriiiex,New Delhi ,[],"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.7983}",India
277,," . is this true👇?If yes,do you have an alternative plan in place?Are #ventilators, scarce?If #ICUs are runn…",nitaldave,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
278,," Omg, this is a terribly damning indictment of this govt's handling of the #coronavirus crisis. The number of #COVID19 de…",Femulator,"East Suffolk England, UK EU","[('Omg', 'PERSON'), '']","{'neg': 0.383, 'neu': 0.568, 'pos': 0.049, 'compound': -0.8689}",UK
279,,"We can no more break the chain, we should think like everyone is +ve and be in isolation at home for 14days and tho… ",lifeofram86,Madras,"[('14days', 'DATE')]","{'neg': 0.173, 'neu': 0.739, 'pos': 0.088, 'compound': -0.34}",India
280,,How private hospitals are on a wild looting spree for #coronavirusVideo by Av… ,BKanad,"Jambudwipe, Bharatkhande",[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
281,," World Is Still Far From Herd Immunity for #Coronavirus.Even in the hardest-hit cities in the world, vast majority of…",jrdelbrio,Barcelona,"[('Coronavirus', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Spain
282,, It took  one day to issue an #ExecutiveOrder because he was upset Twitter called him out on his lies.I…,nelskj,,"[('one day', 'DATE'), ('ExecutiveOrder', 'MONEY')]","{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}",
283,, AMC Commisioner  following WHO guide lines for aggressive testing of #coronavirus He was transferred.Gujarat…,tarunlakhanIYC,"Gujarat, India","[('AMC Commisioner', 'ORG'), ('Gujarat', 'PERSON')]","{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.1531}",India
284,, Statement from  on changes to #coronavirus lockdown restrictions announced today by  …,TattyBojangles7,,"['', ('today', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
285,, #Coronavirus #COVID19 #Japan - Post-virus era begins for Tokyo's nightlife. #AFP📸  ,antoningalleau,Ailleurs,"[('Tokyo', 'GPE'), ('AFP', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
286,, ‘Naming the Lost’ on the fence outside of Green-Wood Cemetery #NewYork #NYC where people have left tributes to remember tho…,SWNS,International,"[('Green-Wood Cemetery', 'LOC'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
287,, OPINION: Not up for debate - #Nigeria's best players are overseas  #Football #Rohr #SuperEagles #…,ScoreNigeria1,,[],"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.6369}",
288,, It took  one day to issue an #ExecutiveOrder because he was upset Twitter called him out on his lies.I…,GreenTerelle,,"[('one day', 'DATE'), ('ExecutiveOrder', 'MONEY')]","{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}",
289,," ""The mortality [rate] in our hospital is very, very high.""Cemeteries are overflowing in Yemen as #coronavirus-related deat…",TilsonFrancis,"Indi, India","[('Yemen', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
290,, Gonna keep retweeting this everytime  I see it. #PrinceWilliam #coronavirus,ATrulyFan,España,"[('Gon', 'PERSON'), ('PrinceWilliam', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Spain
291,, A radical11-point plan to save lives proposing “a further lockdown of care homes” was submitted to Downing St on 28 Apr…,sylviehj,headcorn,"[('Downing St', 'ORG'), ('28', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7506}",UK
292,," BJP accuses Govt of Maharashtra, Chattisgarh, Rajasthan, Jharkhand, Punjab, West Bengal, Delhi, Kerala, Telangana, Andhr…",InvestMENA,dUbAi,"[('BJP', 'ORG'), ('Govt of Maharashtra', 'ORG'), ('Chattisgarh', 'DATE'), ('Rajasthan', 'GPE'), ('Jharkhand', 'GPE'), ('Punjab', 'PERSON'), ('West Bengal', 'GPE'), ('Delhi', 'GPE'), ('Kerala', 'GPE'), ('Telangana', 'GPE')]","{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.34}",Dubai - United Arab Emirates
293,,"Total number of Coronavirus positive cases in the country rises to 165,799 (including 89,987 active, 71,105 cured/d… ",NewsAurChai,Mumbai,"[('Coronavirus', 'ORG'), ('165,799', 'CARDINAL'), ('89,987', 'CARDINAL'), ('71,105', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.765}",India
294,,Delhi: Traffic congestion at Delhi-Gurugram border after Haryana government on Thursday sealed borders with the nat… ,TOIDelhi,"New Delhi, India","[('Delhi', 'GPE'), ('Delhi-Gurugram', 'ORG'), ('Haryana', 'GPE'), ('Thursday', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
295,," 7,466 #coronavirus cases in India in 24 hours, biggest jump so far  ",Azad_Offical,"Kolkata, India","[('7,466 #coronavirus', 'MONEY'), ('India', 'GPE'), ('24 hours', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
296,,Secure your next role. We are here to help - book your #free Career Consultation to learn how we can guide you thro… ,NALExecs,Worldwide,[''],"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.6249}",USA
297,,เช้านี้ตื่นมาพร้อมกับนมถั่วเหลืองอุ่นๆและขนมทำเอง 🤦🏻‍♀️ Happy Friday na ja ❤️ Days 64 National Alert Level 4… ,anna_patcharee,South Africa,"[('Friday', 'DATE'), ('Days 64', 'DATE'), ('4', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.7096}",South Africa
298,,Washing your hands is always an important activity to incorporate into your office routine. Download WASH YOUR HA… ,wshyourhandsapp,,[],"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.2023}",
299,," ""The mortality [rate] in our hospital is very, very high.""Cemeteries are overflowing in Yemen as #coronavirus-related deat…",MtlSeb,"Mont-Tremblant, Québec","[('Yemen', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada
300,, It took  one day to issue an #ExecutiveOrder because he was upset Twitter called him out on his lies.I…,timthehuman666,Southeast Michigan,"[('one day', 'DATE'), ('ExecutiveOrder', 'MONEY')]","{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}",USA
301,," Gisele Sanchez leaves a tribute w/ her brother Edwin Rojas’s for their recently passed aunt Rosa Moran Duran, on a noticebo…",SWNS,International,"[('Gisele Sanchez', 'PERSON'), ('Edwin Rojas', 'PERSON'), ('Rosa Moran Duran', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
302,," Closed for cleaning: A Tyson Food pork processing plant in Iowa where 555 of 2,517 employees have tested positive for #COVID19…",Ahuman_beeing,"Austin, TX","[('Tyson Food', 'ORG'), ('Iowa', 'GPE'), ('555', 'CARDINAL'), ('2,517', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.5574}",USA
303,, #CoronavirusAustralians Urge Queensland To Keep Border Closed Indefinitely.  you can keep em we don't want em…,oldjoeschmo,Melbourne Australia,[],"{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.0572}",Australia
304,, Do join in at 6 pm on Instagram as I discuss challenges of reporting a global pandemic #coronavirus send in your questions too!…,varung123,"Dwarka, New Delhi","[('6 pm', 'TIME'), ('Instagram', 'NORP')]","{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.4199}",India
305,," 7, 466 New #Coronavirus cases reported in last 24 hours Highest Spike in cases ...",CyrilAlexande10,,"[('7', 'CARDINAL'), ('466', 'CARDINAL'), ('Coronavirus', 'PERSON'), ('last 24 hours', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
306,, 🇸🇦🇸🇦Pledging the support of  companies to our government &amp; country in the fight against #Coronavirus#WeA…,mmubkhan,Oman,"[('🇸🇦🇸', 'ORG'), ('Coronavirus#WeA', 'PERSON')]","{'neg': 0.142, 'neu': 0.71, 'pos': 0.148, 'compound': 0.0258}",Oman
307,,A dedicated helpline has been introduced to advise people living with #diabetes who need help with insulin througho… ,ELHT_NHS,East Lancashire,[],"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6908}",UK
308,,What will the potential impact of the #coronavirus pandemic be on the #mentalhealth of both students and teachers?… ,GovtEvents,"London, England",[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
309,," 5-day Remdesivir dose works as well as the 10-day dose in COVID-19, study finds  Via  #Biophar…",helensbiggamble,,"[('Remdesivir', 'PERSON'), ('10-day', 'DATE'), ('Via', 'GPE'), ('Biophar', 'PERSON')]","{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}",
310,," 7,466 #coronavirus cases in India in 24 hours, biggest jump so far  ",saddam_mulani,,"[('7,466 #coronavirus', 'MONEY'), ('India', 'GPE'), ('24 hours', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
311,, The #coronavirus crisis can further increase the dependency of poorer countries on #China. Read our white paper to learn more:…,viriyabot,Internet,"['', ('China', 'GPE')]","{'neg': 0.255, 'neu': 0.656, 'pos': 0.089, 'compound': -0.6486}",USA
312,,This week’s update on our response to #coronavirus is now available on our website - here is a data snapshot of som… ,IpswichGov,"Ipswich, Suffolk, UK","[('This week', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
313,, Traffic snarls as Haryana seals border with Delhi due to rising #coronavirus cases in the state. ,MeghnaCDavid,Bangalore,"[('Haryana', 'ORG'), ('Delhi', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
314,, HE'S THE 3RD PERSON TO CATCH THE MAR-A-LARGO FLU.The mayor of Miami has COVID-19 and has been updating the public da…,reykevster,"Bodfish, CA","[('Miami', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
315,," 7, 466 New #Coronavirus cases reported in last 24 hours Highest Spike in cases ...",JabajKh83864396,"महराजगंज,युपी,भारत","[('7', 'CARDINAL'), ('466', 'CARDINAL'), ('Coronavirus', 'PERSON'), ('last 24 hours', 'TIME')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
316,,"It’s only been a four-day week, but we are still just as excited as ever for the weekend ahead! 🙌🏼May this weeken… ",mysocialhousing,UK,"[('four-day week', 'DATE'), ('the weekend ahead', 'DATE')]","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.5255}",United Kingdom
317,, Join a pre-recorded discussion with three global leaders on the forefront of the #COVID19 pandemic as they discuss both th…,Gmal25459724,مكة المكرمة,"[('three', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.296}",Mecca Saudi Arabia
318,,"The Ukraine riot is a PAID performance, it is not real. #COVID19 #CORONAVIRUS",important_2021,,"[('Ukraine', 'GPE')]","{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.5574}",
319,,#Coronavirus restrictions are being relaxed in Scotland after 66 days of full lockdown.Follow the… ,BBCScotlandNews,"Pacific Quay, Glasgow","[('Coronavirus', 'PERSON'), ('Scotland', 'GPE'), ('66 days', 'DATE')]","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}",UK
320,, It took  one day to issue an #ExecutiveOrder because he was upset Twitter called him out on his lies.I…,stinginthetail,"Quietly plotting on Bundjalung Land, Gold Coast, Qld, Australia","[('one day', 'DATE'), ('ExecutiveOrder', 'MONEY')]","{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}",Australia
321,, The Arabian Gulf's wealthy nations have also been hard hit by the #coronavirus pandemic.What are they doing to cushion the e…,angprimamang,,"[(""The Arabian Gulf's"", 'LOC')]","{'neg': 0.061, 'neu': 0.83, 'pos': 0.109, 'compound': 0.2732}",
322,," Our Trust Board meeting is taking place this morning. Due to the ongoing #coronavirus pandemic, this meeting is being held as…",kateballinger,"Lawley, Telford, England","[('Our Trust Board', 'ORG'), ('this morning', 'TIME')]","{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.5106}",UK
323,,"#WHO, #UNICEF back #DOH in fight against COVID-19  #newsupdate #coronavirus #coronavirus",odnewsonline,Philippines,"[('WHO', 'PERSON'), ('UNICEF', 'ORG'), ('DOH', 'MONEY'), '']","{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.3818}",Philippines
324,,"With almost 400,000 reported #coronavirus cases, #brazil has now been included to the list of #travelban countries… ",davieslegal,,"[('almost 400,000', 'CARDINAL'), ('brazil', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
325,," Wearing a face mask has become an uncomfortable fact of life as Europeans leave lockdown. But for deaf people, it has become…",EwiJih,Bullerbyn,"[('Europeans', 'NORP')]","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4215}",Sweden
326,,Ignorance is the power of #Covid19 I understand Vietnam has a zero death rate due to #coronavirus and remember they… ,swiftuxo,Pretoria,"[('Vietnam', 'GPE'), ('zero', 'CARDINAL')]","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.7506}",South Africa
327,,Working from home is a solution for  Small Businesses amid COVID-19 Social Distancing. Read more:… ,tolajobjobs,South Africa,[],"{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.3182}",South Africa
328,,Testing for #coronavirus has been expanded to include anyone over the age of 5 with symptoms. Key workers remain a… ,lutoncouncil,"Luton, Bedfordshire","['', ('the age of 5', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
329,,"Renewable energy projects create jobs, save money, say top economists #savingmoney… ",homeselfe,,[],"{'neg': 0.0, 'neu': 0.432, 'pos': 0.568, 'compound': 0.802}",
330,," As we are grieving the loss of 100,000 souls in America to the #coronavirus that has disproportionately impacted communitie…",TheJuliaNelson,"Reno, NV","[('100,000', 'CARDINAL'), ('America', 'GPE')]","{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.6808}",USA
331,,"  No better proof that the media doesn't give a rat's ass about #coronavirus  social distancing, who spreads the v…",Pickleboogers,,"[('about #coronavirus', 'MONEY')]","{'neg': 0.096, 'neu': 0.654, 'pos': 0.251, 'compound': 0.5499}",
332,,"""European scientists are developing a #laser sensor that detects #coronavirus at the earliest point of infection fr… ",ZemaxLLC,"Kirkland, WA","[('European', 'NORP')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
333,,"#COVID19 #CORONAVIRUS Tracker #Thailand 🇹🇭  🦠Total Cases: 3,076New Cases: 11Deaths: 57 💀… ",GlobalNewsBKK,ความไม่มีโรคเป็นลาภอันประเสริฐ,"[('CORONAVIRUS', 'PERSON'), ('57', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
334,,#Sodar is an experiment created by  which is designed to use Augmented Reality (AR) to put a virtual 2 meter… ,K_E_N_J,"Anand, India","[('Sodar', 'PERSON'), ('2 meter', 'QUANTITY')]","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",India
335,,Being constantly on the move... Its important to clean your devices you constantly use every few minutes. As well a… ,Workshop17za,South Africa,"[('every few minutes', 'TIME')]","{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.6808}",South Africa
336,,"#COVID19 #CORONAVIRUS Tracker #Thailand 🇹🇭  🦠Total Cases: 3,076New Cases: 11Deaths: 57 💀… ",GlobalNewsTH,Thailand  ไม่มีใครแก่เกินเรียน,"[('CORONAVIRUS', 'PERSON'), ('57', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
337,, Indiscriminately spraying peaceful protesters w/ pepper spray **during an airborne pandemic** is one fucked up asshole mo…,tjbogart33,"Boulder, CO",[],"{'neg': 0.268, 'neu': 0.596, 'pos': 0.136, 'compound': -0.4767}",USA
338,,We present to our readers:The Sandsby #Poem #Poetry #SpillWords #coronavirus ,Spill_Words,New York & The World,"[('Sandsby', 'ORG'), ('SpillWords', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
339,,#WFH .  . #benefits . Follow and shift to a #new #workculture . #COVID19 .#StayHome… ,nutrafywellness,"Gurgaon, India","[('WFH', 'PERSON'), ('COVID19', 'MONEY')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
340,," #China should have stopped #coronavirus at source, will announce 'certain decisions' today: #Trump ",MechRohn,,"[('China', 'GPE'), ('Trump', 'MONEY')]","{'neg': 0.127, 'neu': 0.733, 'pos': 0.14, 'compound': 0.0516}",
341,, Safety FIRST. P U S H: #COVID2019 #LetsFightCovid19 #coronavirus #Social…,MichelleRoseG33,planet Earth ,"[('U S H', 'GPE'), '', '']","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",USA
342,, Wear a mask. You're protecting others #coronavirus ,e_veritas_unum,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
343,,McKinsey On Marketing In The Age Of COVID-19#Engagement #Loyalty #Retail #Marketing… ,linkmobilityuk,"Edinburgh, Scotland","[('McKinsey On Marketing', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
344,,Jerusalem's Al-Aqsa mosque will reopen to worshippers from May 31 with health restrictions after being closed for m… ,the_arabposts,,"[('Jerusalem', 'GPE'), ('Al-Aqsa', 'FAC'), ('May 31', 'DATE')]","{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.2023}",
345,," Journalists asking Vallance and Whitty for their view on Cummings matter. PM intervenes and stops them from answering, sa…",MegShaw1,,"[('Vallance', 'ORG'), ('Cummings', 'ORG')]","{'neg': 0.081, 'neu': 0.863, 'pos': 0.056, 'compound': -0.128}",
346,," Journalists asking Vallance and Whitty for their view on Cummings matter. PM intervenes and stops them from answering, sa…",delboyfour,Nottingham,"[('Vallance', 'ORG'), ('Cummings', 'ORG')]","{'neg': 0.081, 'neu': 0.863, 'pos': 0.056, 'compound': -0.128}",UK
347,, AMEN. Touch: #coronavirus #CoronavirusPandemic #COVID19 #Covid19Out #Chi…,MichelleRoseG33,planet Earth ,"[('AMEN', 'ORG'), '', ('Chi', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
348,, I've been looking forward to this....  in Conversation with   from  Priscilla D…,Legaleagle24,"Walthamstow, London","[('Priscilla', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
349,, #Coronavirus has not stopped Modi-Shah's police to target Muslim students for participating in anti-citizenship act protest!!…,Prakash33286763,"Guwahati,Shillong&Delhi","[('Coronavirus', 'PERSON'), (""Modi-Shah's"", 'ORG'), ('Muslim', 'NORP')]","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.3071}",India
350,, Good LUCK. C L I C K: #COVID19 #Covid19usa #coronavirus #CoronaLockdown…,MichelleRoseG33,planet Earth ,"['', ('CoronaLockdown', 'PRODUCT')]","{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.7672}",USA
351,, Shielding is the word used to describe how to protect those at highest risk of severe illness if they catch #coronavirus.…,HealthwatchT_W,"Telford, England",[],"{'neg': 0.274, 'neu': 0.63, 'pos': 0.096, 'compound': -0.5859}",UK
352,, The fight against #coronavirus will be won through strong #PrimaryHealthCareIf pandemic of such a magnitude didn't made u…,gluppschlopp,"Chhattisgarh, India","[('coronavirus', 'PERSON'), ('PrimaryHealthCareIf', 'GPE')]","{'neg': 0.11, 'neu': 0.593, 'pos': 0.297, 'compound': 0.6597}",India
353,, #Coronavirus has not stopped Modi-Shah's police to target Muslim students for participating in anti-citizenship act protest!!…,ImranJamima,,"[('Coronavirus', 'PERSON'), (""Modi-Shah's"", 'ORG'), ('Muslim', 'NORP')]","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.3071}",
354,, WIN this WAR. C l I c k:#COVIDー19 #COVID #coronavirus #ChineseVirus #Hea…,MichelleRoseG33,planet Earth ,"[('WIN', 'ORG'), ('WAR', 'ORG'), '']","{'neg': 0.305, 'neu': 0.396, 'pos': 0.299, 'compound': -0.0258}",USA
355,," One person can make all the difference. And in this case, the rest should not try to follow him. Stay home and suppor…",maharashtra,"Maharashtra, India","[('One', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
356,,Customer Insights that AI Will Change Because of COVID-19#artificialintelligence… ,ChatbotNews,,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
357,,Customer Insights that AI Will Change Because of COVID-19#artificialintelligence… ,Ebot7Info,info@e-bot7.com,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Error
358,,Customer Insights that AI Will Change Because of COVID-19#artificialintelligence… ,ChatbotConsult,"Munich, Bavaria",[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Germany
359,,#coronavirus India is now 5th in total Active Cases and 2nd in total Serious/Critical cases. ,maruhgar,Bangalore,"[('India', 'GPE'), ('5th', 'ORDINAL'), ('Active Cases', 'ORG'), ('2nd', 'ORDINAL'), ('Serious/Critical', 'ORG')]","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",India
360,, #CJPagainstCovid!At CJP India we are mapping aid to marginalised &amp; needy groups impacted by the #coronavirus outbreak.If you…,artsnoise_,"London, England","[('India', 'GPE'), ('&amp', 'ORG')]","{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.4003}",UK
361,,"With businesses set to return in the next few days, it's important to know how to keep your business clean and heal… ",AandRcleaning,South Wales,"[('the next few days', 'DATE')]","{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.5423}",UK
362,, It took  one day to issue an #ExecutiveOrder because he was upset Twitter called him out on his lies.I…,DandD04,,"[('one day', 'DATE'), ('ExecutiveOrder', 'MONEY')]","{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}",
363,,Memphis Airport recommends travelers bring masks:#Aviation #Airport #COVID19 #Coronavirus ,SpeedBird_NCL,Worldwide,"[('Memphis Airport', 'FAC'), ('masks:#Aviation #Airport', 'ORG'), ('Coronavirus', 'PERSON')]","{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.2263}",USA
364,, So VC UHS  is ready to die while treating patients (God forbid) but what if we don't want to risk our and o…,MaarwaMajical,,[],"{'neg': 0.141, 'neu': 0.71, 'pos': 0.148, 'compound': 0.0485}",
365,," Journalists asking Vallance and Whitty for their view on Cummings matter. PM intervenes and stops them from answering, sa…",Jeremy83157595,"London, England","[('Vallance', 'ORG'), ('Cummings', 'ORG')]","{'neg': 0.081, 'neu': 0.863, 'pos': 0.056, 'compound': -0.128}",UK
366,,"The Dean of St Paul’s Cathedral, the Very Reverend David Ison, said: “We have been overwhelmed by the response to R… ",city_matters,"City of London, London","[('The Dean of St Paul’s', 'ORG'), ('David Ison', 'PERSON')]","{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.0516}",UK
367,,"   , Cummings &amp; all their #Tory cronies will never admit to their abject failures from…",angieprysorjon1,"Oxford, England","[('Cummings &amp', 'ORG'), ('Tory', 'PERSON')]","{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.5562}",UK
368,," Sharing a public twitter list of scientists, doctors, and health reporters covering #coronavirus #covid19 I’ve been curating. h…",fibroidsupport,London,[''],"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4215}",UK
369,,Hospital workers kept in the dark about colleagues' coronavirus tests  … ,Union_NewsUK,On your side,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
